,date,token,token_value,usd_value,protocol,chain,last_token_value
10286,2022-10-10 00:00:00,DCN,,,uniswap,Optimism,
9818,2022-10-10 00:00:00,LYRA,,,uniswap,Optimism,
1862,2022-10-10 00:00:00,WETH,,,uniswap,Optimism,
4670,2022-10-10 00:00:00,SBTC,,,uniswap,Optimism,
14966,2022-10-10 00:00:00,THALES,,,uniswap,Optimism,
8882,2022-10-10 00:00:00,BITANT,,,uniswap,Optimism,
13562,2022-10-10 00:00:00,EST,,,uniswap,Optimism,
926,2022-10-10 00:00:00,SETH,,,uniswap,Optimism,
458,2022-10-10 00:00:00,USDT,56367392.56832,56269820.61179,uniswap,Optimism,55964793.23703
18710,2022-10-10 00:00:00,LUSD,,,uniswap,Optimism,
7945,2022-10-09 00:00:00,PAPER,,,uniswap,Optimism,
2329,2022-10-09 00:00:00,DAI,,,uniswap,Optimism,
7477,2022-10-09 00:00:00,RETH,,,uniswap,Optimism,
10753,2022-10-09 00:00:00,WPC,,,uniswap,Optimism,
