,tribe,address,score,attempts
311,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:452,46,5
312,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:516,44,11
313,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:51,43,17
314,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:731,40,2
315,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:28,36,2
316,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:257,36,7
317,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:318,35,3
318,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:334,34,1
319,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:646,31,5
320,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:624,27,5
321,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:46,25,17
322,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:384,23,1
323,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:675,21,4
324,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:43,17,9
325,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:267,17,3
326,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:360,0,0
327,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:346,0,0
328,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:349,0,0
329,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:305,0,0
330,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:529,0,0
331,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:38,0,0
332,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:75,0,0
333,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:211,0,0
334,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:260,0,0
335,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:521,0,0
336,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:665,0,0
337,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:616,0,0
338,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:337,0,0
339,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:682,0,0
340,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:12,0,0
341,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:80,0,0
342,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:115,0,0
343,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:147,0,0
344,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:205,0,0
345,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:684,0,0
346,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:714,0,0
347,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:683,0,0
348,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:725,0,0
349,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:327,0,0
350,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:78,0,0
351,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:83,0,0
